emoji,hex,r,g,b,l,a_val,b_val
🧅,1F9C5,239,170,112,74.99,19.04,39.71
🧆,1F9C6,191,154,99,65.72,6.65,33.94
🧇,1F9C7,226,150,47,68.1,20.5,61.81
🧈,1F9C8,222,205,131,82.37,-4.74,38.96
🧉,1F9C9,155,128,114,55.86,8.13,11.42
🧊,1F9CA,145,211,243,81.43,-13.28,-21.88
🧋,1F9CB,173,180,157,72.14,-6.45,10.88
🧌,1F9CC,136,130,105,54.25,-2.03,14.61
🧍,1F9CD,178,123,58,56.06,14.94,43.2
🧎,1F9CE,156,123,81,53.94,7.1,28.07
🧏,1F9CF,206,150,42,65.75,11.97,60.89
🧐,1F9D0,219,179,51,74.53,2.05,66.17
🧑,1F9D1,161,122,47,53.62,7.35,45.41
🧒,1F9D2,158,119,46,52.69,7.52,44.57
🧓,1F9D3,201,176,106,72.71,-0.41,39.02
🧔,1F9D4,145,108,48,48.17,7.89,38.35
🧕,1F9D5,144,76,120,41.96,34.35,-12.51
🧖,1F9D6,182,174,136,70.98,-3.65,20.89
🧗,1F9D7,132,102,72,45.62,7.72,21.52
🧘,1F9D8,217,141,27,64.81,21.07,65.25
🧙,1F9D9,170,153,118,63.77,0.95,20.79
🧚,1F9DA,206,186,114,75.7,-2.47,39.18
🧛,1F9DB,163,111,54,51.07,15.05,39.32
🧜,1F9DC,246,147,38,69.97,29.84,67.64
🧝,1F9DD,228,171,96,73.89,12.65,46.03
🧞,1F9DE,95,154,165,60.21,-16.27,-11.95
🧟,1F9DF,151,134,49,55.99,-3.64,46.35
🧠,1F9E0,248,157,156,73.73,33.89,14.49
🧡,1F9E1,254,151,5,71.72,30.8,76.19
🧢,1F9E2,55,158,240,62.92,-1.8,-49.26
🧣,1F9E3,219,72,54,51.75,56.18,42.37
🧤,1F9E4,125,171,189,67.31,-10.84,-14.09
🧥,1F9E5,200,154,94,66.81,9.87,37.96
🧦,1F9E6,186,204,213,80.95,-4.25,-6.43
🧧,1F9E7,249,50,10,54.43,71.56,64.71
🧨,1F9E8,239,74,24,55.27,61.26,60.19
🧩,1F9E9,105,190,56,69.54,-48.65,56.69
🧪,1F9EA,52,203,193,74.29,-40.29,-6.06
🧫,1F9EB,172,161,183,67.65,8.45,-10.2
🧬,1F9EC,115,154,196,62.34,-2.49,-25.59
🧭,1F9ED,239,212,148,85.87,0.22,34.98
🧮,1F9EE,171,82,59,45.5,34.77,30.21
🧯,1F9EF,192,93,78,51.23,38.5,27.29
🧰,1F9F0,199,55,52,45.79,56.21,35.68
🧱,1F9F1,213,109,82,57.78,38.6,33.88
🧲,1F9F2,224,97,91,57.26,48.86,28.1
🧳,1F9F3,40,149,195,57.89,-14.1,-32.27
🧴,1F9F4,107,225,214,82.84,-35.83,-4.81
🧵,1F9F5,114,157,173,62.19,-10.42,-13.39
🧶,1F9F6,205,60,117,48.9,60.62,0.62
🧷,1F9F7,128,176,193,69.08,-11.61,-13.8
🧸,1F9F8,172,103,60,50.35,23.66,35.58
🧹,1F9F9,227,172,85,73.94,11.11,51.57
🧺,1F9FA,226,164,93,72.0,15.47,45.25
🧻,1F9FB,219,232,238,91.14,-3.16,-4.47
🧼,1F9FC,246,174,194,78.16,29.17,0.44
🧽,1F9FD,238,213,60,85.13,-7.3,73.76
🧾,1F9FE,212,234,246,91.37,-4.83,-8.56
🧿,1F9FF,75,121,218,52.1,14.99,-54.18
🩰,1FA70,218,166,133,72.05,15.01,24.48
🩱,1FA71,28,135,176,52.76,-14.6,-29.42
🩲,1FA72,19,139,208,55.21,-5.37,-43.84
🩳,1FA73,60,161,218,63.01,-10.52,-37.38
🩴,1FA74,82,174,198,66.58,-20.3,-20.5
🩵,1FA75,96,206,252,78.33,-18.23,-31.84
🩶,1FA76,142,142,142,59.19,-0.0,0.0
🩷,1FA77,255,146,189,73.07,46.12,-4.3
🩸,1FA78,232,56,51,52.2,65.95,45.32
🩹,1FA79,221,222,221,88.47,-0.43,0.31
🩺,1FA7A,77,168,209,64.98,-14.61,-28.87
🩻,1FA7B,119,163,198,65.21,-6.12,-22.36
🩼,1FA7C,141,157,158,63.62,-5.58,-2.42
🪀,1FA80,227,67,78,52.86,61.92,30.07
🪁,1FA81,206,144,107,65.18,19.17,29.21
🪂,1FA82,148,138,148,58.53,6.07,-4.12
🪃,1FA83,181,152,120,64.56,6.36,20.87
🪄,1FA84,203,183,92,74.31,-4.33,47.96
🪅,1FA85,187,158,157,67.72,10.22,4.51
🪆,1FA86,193,140,118,62.78,17.34,19.89
🪇,1FA87,196,171,63,70.28,-2.64,56.73
🪈,1FA88,215,158,61,68.94,12.21,56.64
🪉,1FA89,185,121,48,56.35,18.37,48.6
🪊,1FA8A,245,178,50,76.99,13.55,69.64
🪎,1FA8E,166,122,70,54.63,11.17,34.9
🪏,1FA8F,125,147,150,59.39,-7.15,-4.27
🪐,1FA90,212,205,174,82.29,-2.67,16.2
🪑,1FA91,192,125,71,58.25,21.09,39.36
🪒,1FA92,170,149,132,63.04,5.09,11.54
🪓,1FA93,243,156,114,72.21,28.03,35.32
🪔,1FA94,216,137,49,64.0,22.85,57.06
🪕,1FA95,213,189,166,77.98,4.99,14.6
🪖,1FA96,92,110,68,43.93,-14.57,21.23
🪗,1FA97,215,125,81,61.5,31.03,38.85
🪘,1FA98,206,150,91,66.31,14.29,38.92
🪙,1FA99,243,200,58,82.15,1.6,71.73
🪚,1FA9A,196,183,164,75.07,1.19,11.52
🪛,1FA9B,217,112,105,59.27,40.09,22.94
🪜,1FA9C,207,147,91,65.73,16.57,38.57
🪝,1FA9D,251,201,48,83.19,4.21,76.15
🪞,1FA9E,208,192,175,78.71,2.54,11.04
🪟,1FA9F,202,182,167,75.24,4.93,10.27
🪠,1FAA0,210,109,93,57.5,38.2,26.92
🪡,1FAA1,102,170,209,66.57,-10.72,-26.44
🪢,1FAA2,168,140,161,61.2,14.25,-7.12
🪣,1FAA3,42,162,225,63.27,-10.66,-40.95
🪤,1FAA4,161,110,62,50.84,14.66,34.63
🪥,1FAA5,228,138,54,65.65,28.08,56.92
🪦,1FAA6,165,170,172,69.2,-1.18,-1.65
🪧,1FAA7,216,210,206,84.55,1.35,2.74
🪨,1FAA8,140,136,132,56.92,0.71,2.63
🪩,1FAA9,159,198,240,78.64,-3.26,-24.73
🪪,1FAAA,147,198,213,76.88,-12.84,-12.97
🪫,1FAAB,182,161,166,68.13,8.83,0.2
🪬,1FAAC,33,88,215,41.52,30.56,-70.16
🪭,1FAAD,241,41,25,52.25,71.61,57.95
🪮,1FAAE,72,75,76,31.7,-0.99,-0.78
🪯,1FAAF,192,123,205,61.42,40.62,-31.86
🪰,1FAB0,107,122,125,50.06,-4.73,-3.63
🪱,1FAB1,245,154,166,73.03,35.57,8.15
🪲,1FAB2,56,152,69,55.65,-45.87,35.21
🪳,1FAB3,151,89,67,44.48,23.29,23.61
🪴,1FAB4,130,150,65,58.8,-19.99,41.85
🪵,1FAB5,185,124,86,57.51,19.39,30.27
🪶,1FAB6,168,123,83,55.13,12.88,28.44
🪷,1FAB7,254,168,149,76.75,29.51,22.59
🪸,1FAB8,235,122,100,63.85,41.73,31.96
🪹,1FAB9,171,129,78,57.06,9.92,33.6
🪺,1FABA,161,144,108,60.4,0.95,21.64
🪻,1FABB,142,124,191,55.93,21.31,-32.68
🪼,1FABC,85,193,255,74.47,-12.44,-39.28
🪽,1FABD,203,208,210,83.12,-1.02,-1.67
🪾,1FABE,128,87,77,41.24,15.41,12.87
🪿,1FABF,224,209,203,84.89,4.29,4.82
🫀,1FAC0,223,69,63,52.13,59.25,38.14
🫁,1FAC1,254,179,168,79.64,25.94,16.31
🫂,1FAC2,66,142,211,57.2,-1.23,-42.26
🫃,1FAC3,104,157,92,59.6,-30.58,28.51
🫄,1FAC4,206,130,34,60.96,22.21,59.18
🫅,1FAC5,213,161,44,69.33,8.69,63.68
🫆,1FAC6,90,154,214,61.88,-3.23,-36.67
🫈,1FAC8,116,81,65,37.87,12.38,15.13
🫍,1FACD,121,124,126,51.88,-0.71,-1.41
🫎,1FACE,164,106,82,50.59,20.54,22.95
🫏,1FACF,187,179,169,73.31,1.42,5.92
🫐,1FAD0,83,102,199,46.24,22.44,-53.18
🫑,1FAD1,132,181,72,68.3,-34.11,49.12
🫒,1FAD2,133,173,74,66.06,-29.56,45.66
🫓,1FAD3,244,209,163,85.66,5.91,27.03
🫔,1FAD4,247,212,119,86.11,1.04,50.29
🫕,1FAD5,189,112,75,54.96,26.98,33.19
🫖,1FAD6,237,94,67,58.45,53.85,43.39
🫗,1FAD7,212,207,205,83.51,1.57,1.42
🫘,1FAD8,165,48,27,38.24,47.07,39.65
🫙,1FAD9,157,201,186,77.59,-17.55,2.97
🫚,1FADA,215,163,105,70.53,12.52,37.01
🫛,1FADB,140,185,88,70.04,-31.23,43.81
🫜,1FADC,152,72,41,40.26,31.42,33.79
🫟,1FADF,133,121,236,56.78,32.87,-57.03
🫠,1FAE0,228,177,38,74.94,6.45,71.1
🫡,1FAE1,236,192,44,79.35,2.74,73.31
🫢,1FAE2,241,195,50,80.71,3.08,72.85
🫣,1FAE3,246,199,57,82.31,3.1,72.3
🫤,1FAE4,235,190,41,78.91,2.78,73.91
🫥,1FAE5,195,125,19,58.39,19.68,60.95
🫦,1FAE6,229,103,153,60.44,54.11,-3.2
🫧,1FAE7,114,214,231,80.56,-25.0,-17.26
🫨,1FAE8,225,179,43,75.17,4.18,69.58
🫩,1FAE9,236,190,51,79.07,3.54,70.95
🫪,1FAEA,232,201,97,81.82,-1.43,55.15
🫯,1FAEF,164,180,183,72.16,-5.14,-3.33
🫰,1FAF0,245,180,28,77.48,12.04,76.3
🫱,1FAF1,245,185,34,78.64,9.86,75.87
🫲,1FAF2,245,185,34,78.54,9.97,75.83
🫳,1FAF3,246,185,32,78.67,10.15,76.22
🫴,1FAF4,243,178,28,76.77,12.41,75.6
🫵,1FAF5,241,174,27,75.59,13.39,74.79
🫶,1FAF6,244,180,29,77.34,11.86,75.92
🫷,1FAF7,240,173,27,75.12,13.63,74.34
🫸,1FAF8,240,173,27,75.09,13.65,74.32
☀,2600,253,184,31,79.27,13.52,77.24
☁,2601,218,227,232,89.82,-2.21,-3.1
☂,2602,97,101,220,48.43,32.12,-61.5
☃,2603,186,188,191,76.11,-0.15,-1.94
☄,2604,166,214,245,83.43,-8.48,-19.99
☎,260E,205,71,66,49.33,52.34,31.99
☑,2611,153,183,196,72.8,-7.27,-9.94
☔,2614,95,130,225,55.93,15.86,-52.41
☕,2615,200,198,196,79.99,0.21,1.27
☘,2618,138,189,44,70.73,-37.0,62.83
☝,261D,240,175,30,75.7,12.6,74.19
☠,2620,195,209,215,82.97,-3.57,-4.69
☢,2622,176,139,32,59.68,4.29,57.6
☣,2623,216,171,40,72.05,4.9,67.47
☦,2626,181,97,196,54.41,49.04,-37.86
☪,262A,183,101,198,55.42,47.89,-37.05
☮,262E,188,112,202,58.69,44.39,-34.58
☯,262F,193,124,206,61.81,40.15,-31.52
☸,2638,184,105,199,56.45,46.59,-36.13
☹,2639,230,186,40,77.4,2.99,72.68
☺,263A,232,184,44,77.01,5.07,71.31
♀,2640,194,33,246,50.84,84.32,-71.35
♂,2642,4,175,152,64.14,-42.79,1.08
♈,2648,235,103,101,60.24,50.9,26.8
♉,2649,251,132,94,67.89,42.26,40.51
♊,264A,253,175,69,77.36,19.09,63.24
♋,264B,253,210,95,86.0,2.73,61.44
♌,264C,252,229,102,90.59,-7.08,63.18
♍,264D,170,209,128,79.38,-26.4,35.82
♎,264E,125,194,129,72.53,-34.89,26.17
♏,264F,73,176,166,65.96,-32.12,-3.81
♐,2650,54,130,209,53.41,3.54,-47.5
♑,2651,145,113,202,54.0,31.46,-42.02
♒,2652,182,104,198,55.9,46.05,-36.37
♓,2653,233,88,138,58.09,60.04,2.34
♟,265F,96,101,105,42.5,-0.98,-2.6
♠,2660,73,78,81,32.92,-1.55,-2.54
♣,2663,72,78,81,32.76,-1.57,-2.55
♥,2665,251,35,45,53.9,75.97,50.92
♦,2666,250,31,44,53.55,76.47,51.05
♨,2668,236,70,61,54.69,62.66,42.76
♻,267B,99,155,49,58.3,-36.43,47.84
♾,267E,179,92,195,53.04,50.92,-39.19
♿,267F,84,132,222,55.85,11.08,-50.37
⚒,2692,135,130,119,54.58,-0.46,6.86
⚓,2693,122,171,189,67.28,-11.8,-14.19
⚔,2694,159,173,161,69.36,-7.15,4.4
⚕,2695,110,74,181,40.48,39.52,-51.84
⚖,2696,87,143,161,56.5,-13.46,-15.25
⚗,2697,150,170,223,69.97,5.07,-28.59
⚙,2699,129,175,193,68.96,-10.94,-13.85
⚛,269B,187,110,201,57.88,44.88,-34.92
⚜,269C,253,190,52,80.72,10.83,72.67
⚠,26A0,233,185,47,77.47,4.49,70.74
⚡,26A1,255,201,39,83.4,5.88,78.88
⚧,26A7,254,165,39,74.95,24.05,71.83
⚪,26AA,221,221,221,88.05,-0.0,0.0
⚫,26AB,71,71,71,30.06,-0.0,0.0
⚰,26B0,178,111,79,53.35,23.14,28.69
⚱,26B1,239,165,79,73.6,19.35,54.43
⚽,26BD,166,168,169,68.65,-0.47,-0.85
⚾,26BE,233,211,201,86.06,6.13,7.88
⛄,26C4,189,187,186,75.97,0.57,0.52
⛅,26C5,228,215,169,85.96,-2.33,24.13
⛈,26C8,211,221,204,86.96,-6.34,7.22
⛎,26CE,53,196,214,73.08,-30.91,-19.71
⛏,26CF,129,124,110,52.06,-0.47,8.08
⛑,26D1,223,85,71,54.75,52.91,36.31
⛓,26D3,126,174,190,68.26,-11.56,-13.63
⛔,26D4,240,90,81,58.54,57.0,36.24
⛩,26E9,180,49,22,41.15,51.67,45.52
⛪,26EA,189,168,163,70.49,6.49,5.55
⛰,26F0,156,166,148,66.88,-6.92,8.05
⛱,26F1,236,166,127,73.88,21.46,30.43
⛲,26F2,170,198,206,78.0,-7.28,-7.51
⛳,26F3,182,169,35,68.4,-9.65,64.48
⛴,26F4,82,144,180,57.25,-9.75,-24.83
⛵,26F5,216,142,118,66.06,25.39,24.46
⛷,26F7,204,200,190,80.77,-0.72,5.68
⛸,26F8,192,186,185,76.07,1.67,1.67
⛹,26F9,203,141,50,63.27,16.0,55.34
⛺,26FA,213,117,53,59.2,32.65,50.05
⛽,26FD,217,112,105,59.36,40.23,22.72
✂,2702,174,127,130,57.85,18.52,5.71
✅,2705,147,191,101,72.45,-29.76,40.24
✈,2708,97,147,178,58.74,-8.35,-21.41
✉,2709,217,238,251,92.9,-4.43,-8.69
✊,270A,243,178,30,76.76,12.04,75.23
✋,270B,245,184,34,78.25,10.12,75.54
✌,270C,241,176,30,76.04,12.38,74.48
✍,270D,218,173,58,73.08,4.89,62.35
✏,270F,233,175,76,75.18,11.25,57.27
✒,2712,112,133,126,53.7,-9.12,1.01
✔,2714,90,114,127,46.67,-5.67,-9.76
✖,2716,98,99,103,41.99,0.2,-2.26
✝,271D,176,86,192,51.43,52.58,-40.34
✡,2721,182,99,197,55.06,48.26,-37.31
✨,2728,251,211,45,85.6,-0.62,78.89
✳,2733,125,179,67,67.38,-36.41,50.27
✴,2734,251,141,1,69.22,34.91,74.94
❄,2744,167,213,244,83.23,-7.96,-19.86
❇,2747,125,179,67,67.42,-36.37,50.21
❌,274C,236,68,58,54.3,63.49,43.97
❎,274E,158,197,117,74.99,-26.65,35.81
❓,2753,233,65,56,53.5,63.36,43.73
❔,2754,217,217,217,86.63,-0.0,0.0
❕,2755,220,220,220,87.85,-0.0,0.0
❗,2757,236,68,58,54.31,63.36,43.8
❣,2763,239,69,58,54.93,63.98,44.67
❤,2764,240,69,58,55.16,64.03,44.76
➕,2795,97,98,102,41.59,0.26,-2.33
➖,2796,95,97,100,41.01,0.14,-2.34
➗,2797,96,98,101,41.61,-0.34,-1.92
➡,27A1,147,179,193,71.12,-7.82,-10.7
➰,27B0,98,100,103,42.41,-0.29,-1.89
➿,27BF,98,100,103,42.24,-0.37,-1.81
⌚,231A,206,198,191,80.24,1.54,4.28
⌛,231B,172,168,135,68.29,-3.98,17.45
⏩,23E9,253,168,48,75.61,22.34,69.44
⏪,23EA,253,168,48,75.55,22.34,69.42
⏫,23EB,253,168,48,75.55,22.34,69.42
⏬,23EC,253,168,48,75.55,22.36,69.44
⏭,23ED,253,172,59,76.56,20.42,66.47
⏮,23EE,253,172,59,76.59,20.36,66.36
⏯,23EF,253,171,55,76.17,21.15,67.65
⏰,23F0,230,155,152,71.24,27.51,13.06
⏱,23F1,215,219,221,87.1,-1.06,-1.49
⏲,23F2,203,224,229,87.89,-6.17,-4.51
⏳,23F3,182,167,118,68.77,-2.1,27.26
⏸,23F8,253,162,33,74.13,25.27,72.93
⏹,23F9,253,171,56,76.28,20.94,67.31
⏺,23FA,253,167,44,75.2,23.04,70.37
▪,25AA,73,73,73,31.05,-0.0,0.0
▫,25AB,215,215,215,86.14,-0.0,0.0
▶,25B6,254,160,27,73.66,26.29,73.86
◀,25C0,254,160,27,73.66,26.29,73.86
◻,25FB,219,219,219,87.36,-0.0,0.0
◼,25FC,70,70,70,29.91,-0.0,0.0
◽,25FD,220,220,220,87.71,-0.0,0.0
◾,25FE,72,72,72,30.52,-0.0,0.0
⤴,2934,153,184,197,72.86,-7.38,-9.97
⤵,2935,153,184,197,72.86,-7.38,-9.97
⬅,2B05,147,179,193,71.12,-7.82,-10.7
⬆,2B06,147,179,193,71.11,-7.82,-10.7
⬇,2B07,147,179,193,71.11,-7.82,-10.7
⬛,2B1B,70,70,70,29.58,-0.0,0.0
⬜,2B1C,221,221,221,88.04,-0.0,0.0
⭐,2B50,253,216,54,87.09,-2.45,77.8
⭕,2B55,233,65,56,53.42,63.51,43.94
〰,3030,97,99,102,41.99,-0.47,-1.81
〽,303D,253,203,51,83.97,4.02,75.97
㊗,3297,241,111,103,62.5,49.3,28.87
㊙,3299,241,114,106,63.17,48.06,27.82
🇺🇸,1F1FA-1F1F8,174,122,142,56.92,23.4,-2.64
🇮🇳,1F1EE-1F1F3,164,168,119,67.46,-9.34,25.01
🇬🇧,1F1EC-1F1E7,157,96,122,48.24,28.28,-4.15
🇩🇪,1F1E9-1F1EA,162,74,24,42.22,33.84,44.48
🇫🇷,1F1EB-1F1F7,160,132,149,58.09,13.59,-5.16
🇯🇵,1F1EF-1F1F5,215,189,195,78.82,10.36,0.34
🇨🇳,1F1E8-1F1F3,187,42,52,41.98,56.73,30.52
🇰🇷,1F1F0-1F1F7,186,176,181,72.85,4.3,-1.34
🇨🇦,1F1E8-1F1E6,224,96,96,57.25,49.98,25.26
🇦🇺,1F1E6-1F1FA,75,76,128,34.49,13.37,-29.38
🇧🇷,1F1E7-1F1F7,68,152,94,56.7,-38.99,23.17
🇮🇹,1F1EE-1F1F9,148,143,127,59.33,-0.74,9.17
🇪🇸,1F1EA-1F1F8,182,107,37,52.53,24.21,49.6
🇲🇽,1F1F2-1F1FD,142,120,118,52.52,8.16,4.16
🇷🇺,1F1F7-1F1FA,138,113,143,50.99,15.12,-12.49
🇳🇬,1F1F3-1F1EC,95,163,136,62.05,-27.95,7.27
