emoji,hex,r,g,b,l,a_val,b_val
🍚,1F35A,201,221,223,86.63,-6.06,-3.33
🍛,1F35B,237,199,156,82.61,7.34,26.48
🍜,1F35C,215,182,150,76.08,7.24,20.47
🍝,1F35D,234,191,146,80.02,9.62,28.33
🍞,1F35E,234,171,91,74.42,14.98,49.57
🍟,1F35F,250,133,66,67.68,39.47,54.78
🍠,1F360,214,98,127,56.74,48.47,6.27
🍡,1F361,223,192,154,79.57,5.41,23.42
🍢,1F362,211,177,132,74.26,6.04,27.64
🍣,1F363,244,138,119,68.61,38.23,28.16
🍤,1F364,244,162,28,72.93,21.09,72.63
🍥,1F365,233,211,220,86.58,9.18,-1.82
🍦,1F366,244,200,136,82.97,7.72,37.7
🍧,1F367,233,183,198,79.14,20.75,-0.92
🍨,1F368,193,173,168,72.14,6.32,5.23
🍩,1F369,170,117,81,53.81,16.94,27.82
🍪,1F36A,209,132,67,62.08,23.88,46.62
🍫,1F36B,176,92,97,49.21,34.53,12.94
🍬,1F36C,244,181,184,79.48,23.25,7.33
🍭,1F36D,209,173,159,73.55,10.9,12.37
🍮,1F36E,235,194,136,80.7,7.13,34.75
🍯,1F36F,220,135,21,63.83,25.19,66.2
🍰,1F370,251,167,108,75.7,25.05,43.22
🍱,1F371,160,138,119,58.86,5.22,12.95
🍲,1F372,153,133,99,56.5,2.2,20.96
🍳,1F373,137,129,118,54.39,0.96,7.01
🍴,1F374,192,192,192,77.6,-0.0,0.0
🍵,1F375,187,209,203,82.21,-8.75,0.53
🍶,1F376,183,205,209,80.88,-6.65,-4.43
🍷,1F377,203,156,162,68.78,18.22,3.85
🍸,1F378,216,212,195,84.87,-1.75,8.82
🍹,1F379,239,169,118,74.96,19.86,36.43
🍺,1F37A,236,200,140,82.37,4.65,34.46
🍻,1F37B,237,203,149,83.34,4.66,31.34
🍼,1F37C,202,215,206,84.83,-5.88,2.9
🍽,1F37D,230,230,230,91.39,-0.0,0.0
🍾,1F37E,159,158,84,63.81,-10.92,38.78
🍿,1F37F,246,163,116,74.32,25.89,36.77
🎀,1F380,241,74,79,56.32,63.82,34.72
🎁,1F381,234,101,41,59.0,48.49,56.28
🎂,1F382,248,188,140,80.68,15.53,32.91
🎃,1F383,216,116,3,59.08,33.56,65.86
🎄,1F384,66,153,61,56.28,-44.73,39.97
🎅,1F385,233,179,153,77.14,16.2,20.56
🎆,1F386,71,87,136,37.82,7.65,-29.06
🎇,1F387,153,103,74,48.18,16.78,24.49
🎈,1F388,241,73,62,55.79,63.32,43.59
🎉,1F389,198,137,87,62.25,18.04,35.93
🎊,1F38A,195,149,82,64.7,9.94,41.58
🎋,1F38B,155,172,49,67.07,-22.3,57.77
🎌,1F38C,221,186,191,78.68,12.95,2.37
🎍,1F38D,157,167,89,66.23,-15.57,39.27
🎎,1F38E,150,103,104,48.56,18.89,7.38
🎏,1F38F,147,143,121,59.27,-2.85,12.62
🎐,1F390,137,215,243,81.96,-16.63,-21.51
🎑,1F391,147,138,131,58.1,1.68,5.27
🎒,1F392,223,82,65,54.17,53.79,39.28
🎓,1F393,89,82,62,34.85,-0.52,12.54
🎖,1F396,216,149,90,67.1,19.01,40.9
🎗,1F397,255,196,44,82.34,8.44,76.77
🎙,1F399,131,172,184,67.99,-11.09,-10.54
🎚,1F39A,164,164,164,67.31,-0.03,-0.04
🎛,1F39B,155,159,160,65.06,-1.1,-1.43
🎞,1F39E,144,116,91,50.78,7.13,17.99
🎟,1F39F,216,95,92,55.68,47.28,25.68
🎠,1F3A0,186,175,184,72.61,5.63,-3.1
🎡,1F3A1,168,159,184,67.0,8.15,-11.75
🎢,1F3A2,133,125,108,52.54,0.38,10.13
🎣,1F3A3,91,143,160,56.51,-12.77,-14.19
🎤,1F3A4,116,125,128,51.82,-2.72,-2.6
🎥,1F3A5,79,78,78,33.42,0.34,0.29
🎦,1F3A6,252,187,97,80.28,14.29,54.0
🎧,1F3A7,92,92,92,39.25,-0.0,0.0
🎨,1F3A8,225,156,91,69.98,19.17,43.84
🎩,1F3A9,87,68,70,31.02,8.39,2.35
🎪,1F3AA,226,114,72,60.39,40.61,42.69
🎫,1F3AB,228,183,66,76.63,4.52,62.96
🎬,1F3AC,100,100,100,42.3,-0.0,0.0
🎭,1F3AD,154,151,108,61.75,-5.87,23.0
🎮,1F3AE,105,109,112,45.72,-0.6,-2.21
🎯,1F3AF,230,116,120,62.27,44.49,18.49
🎰,1F3B0,194,160,130,68.19,8.09,20.31
🎱,1F3B1,110,112,115,47.27,-0.5,-1.93
🎲,1F3B2,199,192,191,78.31,2.14,1.63
🎳,1F3B3,169,158,156,66.02,3.52,2.47
🎴,1F3B4,171,114,114,53.97,22.28,9.11
🎵,1F3B5,84,110,122,44.86,-6.41,-9.75
🎶,1F3B6,84,110,122,44.86,-6.41,-9.75
🎷,1F3B7,247,190,52,80.17,8.04,72.17
🎸,1F3B8,220,131,115,63.89,32.66,23.59
🎹,1F3B9,147,153,156,62.96,-1.73,-2.11
🎺,1F3BA,242,189,51,79.33,6.95,71.37
🎻,1F3BB,204,113,82,57.45,32.91,32.9
🎼,1F3BC,84,110,122,44.86,-6.41,-9.75
🎽,1F3BD,120,184,175,70.56,-22.72,-1.83
🎾,1F3BE,124,172,171,66.99,-15.92,-4.65
🎿,1F3BF,75,125,156,50.1,-7.75,-21.86
🏀,1F3C0,205,96,47,53.49,40.1,47.05
🏁,1F3C1,151,149,149,62.01,0.55,0.49
🏂,1F3C2,194,176,174,73.31,6.12,3.52
🏃,1F3C3,165,127,72,55.79,8.26,35.11
🏄,1F3C4,158,151,107,61.92,-4.35,23.7
🏅,1F3C5,176,161,105,66.45,-2.91,31.25
🏆,1F3C6,233,169,53,73.4,13.54,64.92
🏇,1F3C7,166,116,83,53.24,15.68,26.01
🏈,1F3C8,169,100,84,49.74,25.68,21.15
🏉,1F3C9,211,117,21,58.66,30.9,61.68
🏊,1F3CA,157,179,145,70.51,-14.07,14.95
🏋,1F3CB,185,147,80,63.17,6.45,40.26
🏌,1F3CC,144,120,101,52.27,5.84,14.2
🏍,1F3CD,148,80,83,42.23,29.1,10.76
🏎,1F3CE,174,68,56,43.37,42.5,29.51
