emoji,hex,r,g,b,l,a_val,b_val
🚠,1F6A0,227,71,35,52.97,59.0,53.12
🚡,1F6A1,203,229,244,89.44,-5.34,-10.39
🚢,1F6A2,56,100,118,39.99,-9.7,-15.13
🚣,1F6A3,227,91,59,56.17,51.34,44.56
🚤,1F6A4,241,83,30,57.11,58.78,59.85
🚥,1F6A5,68,68,67,28.74,0.03,0.26
🚦,1F6A6,68,68,67,28.76,0.04,0.33
🚧,1F6A7,251,213,8,85.94,-2.47,85.59
🚨,1F6A8,235,62,51,53.26,64.79,46.41
🚩,1F6A9,254,45,36,55.05,74.48,56.59
🚪,1F6AA,177,102,67,50.86,27.03,32.67
🚫,1F6AB,245,67,54,55.91,66.38,47.83
🚬,1F6AC,189,189,188,76.47,0.03,0.54
🚭,1F6AD,65,60,62,25.9,2.21,-0.36
🚮,1F6AE,34,98,221,44.61,25.99,-68.07
🚯,1F6AF,65,60,62,25.98,2.34,-0.26
🚰,1F6B0,33,98,221,44.48,26.19,-68.24
🚱,1F6B1,65,60,62,25.99,2.45,-0.2
🚲,1F6B2,113,168,174,65.26,-16.35,-9.01
🚳,1F6B3,65,60,62,25.83,2.33,-0.27
🚴,1F6B4,96,96,96,40.78,0.1,-0.05
🚵,1F6B5,202,202,202,81.34,0.03,0.17
🚶,1F6B6,101,109,125,45.83,0.55,-9.91
🚷,1F6B7,65,61,62,26.21,2.31,-0.28
🚸,1F6B8,254,207,54,84.99,2.48,75.91
🚹,1F6B9,34,98,221,44.64,25.98,-68.07
🚺,1F6BA,34,98,221,44.64,25.97,-68.06
🚻,1F6BB,33,98,221,44.49,26.15,-68.19
🚼,1F6BC,34,98,221,44.68,25.88,-67.98
🚽,1F6BD,240,241,241,94.99,-0.18,-0.28
🚾,1F6BE,34,98,221,44.6,26.02,-68.1
🚿,1F6BF,191,191,192,77.41,-0.14,-0.28
🛀,1F6C0,232,237,239,93.31,-1.16,-1.61
🛁,1F6C1,239,240,240,94.66,-0.15,-0.16
🛂,1F6C2,34,98,221,44.63,25.93,-68.02
🛃,1F6C3,34,98,221,44.71,25.81,-67.91
🛄,1F6C4,35,99,221,44.89,25.49,-67.62
🛅,1F6C5,33,97,220,44.34,26.35,-68.37
🛋,1F6CB,62,176,227,67.79,-15.51,-34.58
🛌,1F6CC,33,144,215,57.27,-4.82,-44.62
🛍,1F6CD,246,146,155,71.22,38.56,11.62
🛎,1F6CE,252,200,38,82.89,5.1,78.48
🛏,1F6CF,189,117,85,56.28,25.3,29.41
🛐,1F6D0,171,71,188,47.97,57.29,-43.28
🛑,1F6D1,244,67,54,55.66,66.05,47.68
🛒,1F6D2,132,175,192,69.11,-10.54,-13.35
🛕,1F6D5,241,122,66,64.17,42.12,50.66
🛖,1F6D6,162,125,103,55.29,11.31,17.58
🛗,1F6D7,34,98,221,44.65,25.86,-67.96
🛘,1F6D8,119,129,131,53.24,-3.27,-2.37
🛜,1F6DC,254,148,1,71.1,32.15,76.32
🛝,1F6DD,153,214,228,82.19,-16.36,-12.95
🛞,1F6DE,70,70,70,29.78,-0.03,-0.05
🛟,1F6DF,248,59,4,55.05,68.78,66.18
🛠,1F6E0,131,176,194,69.16,-10.51,-13.99
🛡,1F6E1,176,192,199,76.65,-3.81,-5.34
🛢,1F6E2,39,134,198,53.6,-4.87,-40.62
🛣,1F6E3,75,112,105,44.46,-15.03,-0.34
🛤,1F6E4,124,177,65,66.59,-35.74,50.24
🛥,1F6E5,201,224,227,87.65,-7.07,-4.03
🛩,1F6E9,6,186,224,69.84,-25.37,-30.17
🛫,1F6EB,199,199,199,80.26,0.0,0.0
🛬,1F6EC,204,204,204,82.03,0.05,0.06
🛰,1F6F0,69,131,147,51.49,-15.4,-14.64
🛳,1F6F3,38,109,157,43.88,-4.75,-32.45
🛴,1F6F4,32,121,211,50.32,7.53,-53.44
🛵,1F6F5,250,179,10,77.77,14.47,79.48
🛶,1F6F6,168,97,62,48.63,25.52,32.01
🛷,1F6F7,241,164,88,73.5,21.6,50.06
🛸,1F6F8,111,149,143,58.81,-14.58,-0.9
🛹,1F6F9,66,66,66,28.14,-0.01,-0.03
🛺,1F6FA,63,88,58,34.81,-16.37,14.59
🛻,1F6FB,242,68,32,55.14,64.54,57.33
🛼,1F6FC,9,154,226,60.35,-7.59,-45.6
🟠,1F7E0,255,152,0,72.03,30.68,77.06
🟡,1F7E1,255,204,50,84.37,4.37,76.66
🟢,1F7E2,124,179,66,67.23,-36.59,50.51
🟣,1F7E3,171,71,188,47.96,57.41,-43.35
🟤,1F7E4,183,109,84,53.63,26.82,26.47
🟥,1F7E5,244,67,54,55.65,66.03,47.69
🟦,1F7E6,25,118,210,49.32,8.47,-54.53
🟧,1F7E7,255,152,0,72.07,30.61,77.09
🟨,1F7E8,255,204,50,84.36,4.41,76.63
🟩,1F7E9,124,179,66,67.27,-36.58,50.5
🟪,1F7EA,171,71,188,48.05,57.3,-43.23
🟫,1F7EB,183,109,84,53.69,26.83,26.47
🟰,1F7F0,97,98,102,41.46,0.43,-2.42
🤌,1F90C,254,202,40,83.61,5.01,78.87
🤍,1F90D,224,224,224,89.27,-0.0,0.0
🤎,1F90E,183,109,84,53.64,26.84,26.48
🤏,1F90F,254,202,40,83.61,5.06,78.86
🤐,1F910,250,209,46,84.99,-0.32,78.26
🤑,1F911,250,205,45,84.09,1.37,77.75
🤒,1F912,247,197,46,81.76,4.68,75.26
🤓,1F913,248,199,44,82.47,3.92,76.5
🤔,1F914,250,208,46,84.92,0.05,78.1
🤕,1F915,248,202,43,83.01,2.51,77.32
🤖,1F916,146,165,175,66.68,-4.8,-7.35
🤗,1F917,249,199,49,82.47,4.42,75.21
🤘,1F918,254,202,40,83.61,5.08,78.85
🤙,1F919,255,202,40,83.71,5.17,78.93
🤚,1F91A,255,202,40,83.76,5.05,78.96
🤛,1F91B,255,202,39,83.62,5.28,78.9
🤜,1F91C,255,202,40,83.65,5.25,78.92
🤝,1F91D,254,202,40,83.71,4.98,78.91
🤞,1F91E,254,201,39,83.51,5.19,78.88
🤟,1F91F,254,202,39,83.62,5.17,78.89
🤠,1F920,247,197,43,81.73,4.75,76.08
🤡,1F921,248,246,246,97.04,0.78,0.4
🤢,1F922,174,207,91,78.56,-27.96,52.94
🤣,1F923,246,195,45,81.09,5.08,74.95
🤤,1F924,250,210,46,85.18,-0.66,78.33
🤥,1F925,252,218,47,87.61,-4.2,80.22
🤦,1F926,90,62,52,29.15,10.9,11.22
🤧,1F927,247,200,43,82.54,2.96,76.92
🤨,1F928,250,209,46,85.17,-0.55,78.4
🤩,1F929,248,195,41,81.46,5.81,76.46
🤪,1F92A,248,199,43,82.39,3.96,76.68
🤫,1F92B,250,203,44,83.61,2.47,77.6
🤬,1F92C,249,173,52,76.29,18.17,68.76
🤭,1F92D,250,203,48,83.65,2.37,76.55
🤮,1F92E,248,200,43,82.72,3.15,77.02
🤯,1F92F,243,171,42,75.06,16.12,70.42
🤰,1F930,94,65,53,30.48,11.1,12.12
🤱,1F931,245,191,36,79.92,6.62,76.41
🤲,1F932,254,202,40,83.76,4.83,78.98
🤳,1F933,246,141,30,68.61,33.28,69.02
🤴,1F934,254,203,43,83.97,4.15,78.27
🤵,1F935,83,63,56,28.65,7.31,7.55
🤶,1F936,219,41,8,47.94,65.49,58.7
🤷,1F937,237,104,0,59.71,47.47,68.32
🤸,1F938,254,199,28,82.85,6.33,80.71
🤹,1F939,246,121,17,64.38,42.66,69.0
🤺,1F93A,215,215,215,86.11,0.0,0.0
🤼,1F93C,250,177,22,77.16,15.53,77.35
🤽,1F93D,235,121,4,62.83,38.43,69.44
🤾,1F93E,239,108,1,60.99,46.38,69.09
🤿,1F93F,53,131,218,54.21,5.81,-51.15
🥀,1F940,118,131,56,52.27,-16.39,38.06
🥁,1F941,220,77,55,52.78,54.8,42.89
🥂,1F942,245,243,235,95.74,-0.85,4.08
🥃,1F943,228,228,228,90.51,-0.0,0.02
🥄,1F944,200,200,200,80.5,-0.0,0.0
🥅,1F945,183,203,211,80.51,-5.31,-6.27
🥇,1F947,251,185,29,79.17,12.49,77.57
🥈,1F948,210,209,214,84.14,1.11,-2.11
🥉,1F949,247,148,42,70.38,29.94,66.61
🥊,1F94A,221,13,40,46.71,71.28,44.74
🥋,1F94B,251,251,251,98.78,-0.0,0.0
🥌,1F94C,134,132,132,55.46,0.81,0.22
🥍,1F94D,99,103,107,43.47,-1.01,-2.89
🥎,1F94E,213,242,0,90.58,-32.33,88.26
🥏,1F94F,3,193,237,72.54,-25.05,-32.78
🥐,1F950,246,170,55,75.33,18.29,66.48
🥑,1F951,253,245,155,95.33,-9.78,44.01
🥒,1F952,86,153,51,57.11,-40.03,45.28
🥓,1F953,211,63,28,48.9,56.45,51.65
🥔,1F954,184,136,91,60.49,12.85,31.64
🥕,1F955,254,144,8,70.29,34.29,74.9
🥖,1F956,242,172,56,75.14,16.19,65.69
🥗,1F957,241,241,236,95.03,-1.13,2.55
🥘,1F958,198,129,61,59.95,20.3,46.74
🥙,1F959,246,212,168,86.8,5.78,26.17
🥚,1F95A,242,160,91,72.72,24.03,47.78
🥛,1F95B,225,225,224,89.4,-0.03,0.11
🥜,1F95C,244,175,56,76.08,15.19,66.66
🥝,1F95D,169,200,35,75.96,-30.46,70.69
🥞,1F95E,200,108,28,55.15,31.45,56.25
🥟,1F95F,250,206,144,85.27,7.54,36.65
🥠,1F960,247,199,115,82.87,7.31,48.07
🥡,1F961,174,171,171,70.13,1.03,0.38
🥢,1F962,216,16,41,45.76,69.73,42.96
🥣,1F963,107,185,254,72.77,-4.17,-41.34
🥤,1F964,167,208,215,80.8,-11.94,-7.96
🥥,1F965,179,178,177,72.47,0.3,0.4
🥦,1F966,111,153,34,58.32,-32.01,53.76
🥧,1F967,230,144,37,67.3,24.88,64.96
🥨,1F968,226,128,23,63.01,31.82,65.3
🥩,1F969,220,13,40,46.56,71.13,44.66
🥪,1F96A,250,223,177,89.88,2.75,25.91
🥫,1F96B,210,206,183,82.62,-2.65,11.9
🥬,1F96C,136,188,67,70.53,-35.89,54.01
🥭,1F96D,230,157,35,70.37,17.96,68.23
🥮,1F96E,219,121,18,60.53,32.37,64.27
🥯,1F96F,240,175,74,75.95,14.06,59.13
🥰,1F970,250,209,47,85.12,-0.38,78.1
🥱,1F971,250,204,46,83.73,2.22,77.14
🥲,1F972,249,209,46,84.99,-0.53,78.1
🥳,1F973,247,201,45,82.82,2.59,76.41
🥴,1F974,250,210,46,85.22,-0.54,78.26
🥵,1F975,244,124,25,64.78,40.46,67.26
🥶,1F976,68,188,238,71.91,-17.55,-34.27
🥷,1F977,64,64,64,27.03,0.19,0.15
🥸,1F978,243,191,43,79.95,5.64,74.49
🥹,1F979,247,199,43,82.28,3.48,76.57
🥺,1F97A,249,200,43,82.66,3.62,77.06
🥻,1F97B,25,148,134,55.13,-34.8,-1.79
🥼,1F97C,253,254,255,99.66,-0.15,-0.28
🥽,1F97D,161,201,210,78.45,-10.82,-9.11
🥾,1F97E,116,76,49,36.09,13.73,22.58
🥿,1F97F,3,144,204,56.38,-10.4,-39.62
🦀,1F980,254,99,1,61.73,55.85,70.8
🦁,1F981,136,94,80,44.05,15.14,15.11
🦂,1F982,244,163,90,73.61,23.32,49.39
🦃,1F983,101,82,78,36.58,6.99,5.3
🦄,1F984,225,224,224,89.19,0.38,-0.01
🦅,1F985,114,85,77,38.87,10.89,9.05
🦆,1F986,127,90,83,42.04,14.17,10.35
🦇,1F987,127,88,78,41.35,14.82,12.19
🦈,1F988,157,156,156,64.43,0.19,0.06
🦉,1F989,227,154,100,69.72,21.84,38.94
🦊,1F98A,253,103,18,62.27,54.13,67.91
🦋,1F98B,114,110,99,46.39,-0.52,6.31
🦌,1F98C,211,121,87,60.2,31.87,33.89
🦍,1F98D,93,98,101,41.37,-1.26,-2.38
🦎,1F98E,5,175,72,62.52,-59.54,41.47
🦏,1F98F,109,163,175,63.84,-14.7,-11.88
🦐,1F990,254,99,23,61.7,56.14,66.33
🦑,1F991,237,127,173,66.7,47.63,-5.12
🦒,1F992,253,180,8,78.15,15.64,80.12
🦓,1F993,38,38,38,15.16,-0.09,-0.08
🦔,1F994,136,93,83,43.64,16.27,12.91
🦕,1F995,4,173,72,61.82,-59.02,40.86
🦖,1F996,150,168,32,65.29,-22.74,61.46
🦗,1F997,189,152,129,65.48,10.54,17.22
🦘,1F998,211,121,87,60.13,32.08,33.86
🦙,1F999,248,249,251,97.86,0.14,-1.24
🦚,1F99A,33,174,82,62.82,-56.09,37.18
🦛,1F99B,188,144,122,63.45,13.17,18.33
🦜,1F99C,204,204,22,79.76,-18.14,77.51
🦝,1F99D,160,160,160,65.81,-0.01,-0.08
🦞,1F99E,251,30,29,53.5,76.55,58.14
🦟,1F99F,126,141,143,57.53,-5.25,-2.79
🦠,1F9A0,126,221,141,80.76,-44.86,30.62
🦡,1F9A1,173,174,174,70.93,-0.03,-0.04
🦢,1F9A2,221,238,246,93.03,-4.24,-5.63
🦣,1F9A3,155,106,87,49.3,17.26,18.45
🦤,1F9A4,121,164,174,64.58,-11.97,-9.79
🦥,1F9A5,176,151,129,64.12,6.01,14.81
🦦,1F9A6,136,93,80,43.78,15.95,14.8
🦧,1F9A7,211,121,85,59.92,31.9,34.36
🦨,1F9A8,78,78,78,33.1,0.02,0.01
🦩,1F9A9,249,130,171,68.7,49.82,-0.97
🦪,1F9AA,227,205,189,83.82,5.0,10.94
🦫,1F9AB,179,138,109,60.52,11.67,21.46
🦬,1F9AC,141,104,92,47.33,13.1,12.63
🦭,1F9AD,203,217,222,85.83,-3.8,-4.17
🦮,1F9AE,253,185,6,79.27,12.82,81.16
🦯,1F9AF,220,224,226,88.85,-0.66,-1.51
🦰,1F9B0,235,81,9,55.69,57.36,64.21
🦱,1F9B1,99,69,58,32.24,11.75,11.45
🦲,1F9B2,255,200,36,83.18,6.38,79.46
🦳,1F9B3,243,243,243,95.76,-0.0,0.0
🦴,1F9B4,252,234,204,93.38,1.43,16.75
🦵,1F9B5,255,202,39,83.66,5.34,79.06
🦶,1F9B6,255,202,40,83.65,5.24,78.92
🦷,1F9B7,225,231,234,91.26,-1.47,-2.19
🦸,1F9B8,216,62,46,49.77,59.1,44.12
🦹,1F9B9,19,46,88,19.32,6.03,-28.08
🦺,1F9BA,253,148,1,70.99,32.05,76.2
🦻,1F9BB,251,188,26,79.94,10.28,78.71
🦼,1F9BC,70,65,65,28.07,2.31,0.81
🦽,1F9BD,124,152,165,61.02,-6.76,-10.01
🦾,1F9BE,144,164,173,66.04,-4.8,-7.22
🦿,1F9BF,137,161,172,64.82,-5.98,-8.5
🧀,1F9C0,254,182,3,78.7,14.81,81.13
🧁,1F9C1,252,220,176,89.4,4.64,25.51
🧂,1F9C2,172,209,216,81.44,-10.91,-7.36
🧃,1F9C3,125,216,143,79.22,-42.38,27.53
🧄,1F9C4,233,209,212,85.98,8.7,1.61
🧅,1F9C5,253,201,133,84.14,10.34,40.97
🧆,1F9C6,138,78,42,39.55,22.07,31.54
🧇,1F9C7,245,176,60,76.52,15.37,65.74
🧈,1F9C8,248,234,204,93.15,-0.07,16.43
🧉,1F9C9,135,95,85,44.14,15.0,12.2
🧊,1F9CA,108,198,242,76.06,-14.95,-29.79
🧋,1F9CB,231,187,149,78.82,10.97,25.28
🧌,1F9CC,159,113,89,51.64,15.02,20.15
🧍,1F9CD,237,111,2,61.1,44.22,68.75
🧎,1F9CE,106,112,124,47.29,0.35,-7.36
🧏,1F9CF,253,198,35,82.59,6.21,79.18
🧐,1F9D0,248,200,42,82.65,3.39,77.14
🧑,1F9D1,84,58,50,27.04,10.38,9.53
🧒,1F9D2,84,58,50,27.04,10.27,9.69
🧓,1F9D3,249,195,38,81.51,5.93,77.35
🧔,1F9D4,84,58,50,27.09,10.29,9.48
🧕,1F9D5,134,44,168,37.27,56.27,-48.73
🧖,1F9D6,206,233,245,90.87,-6.51,-8.84
🧗,1F9D7,104,73,62,34.0,11.61,11.58
🧘,1F9D8,233,108,3,59.89,44.32,67.58
🧙,1F9D9,132,133,139,55.67,0.46,-3.03
🧚,1F9DA,148,238,234,88.55,-27.61,-6.5
🧛,1F9DB,82,61,53,28.0,7.78,8.55
🧜,1F9DC,252,197,32,82.18,6.77,79.4
🧝,1F9DD,220,220,218,87.71,-0.25,0.89
🧞,1F9DE,69,191,245,72.91,-16.56,-36.36
🧟,1F9DF,128,192,42,71.03,-42.36,63.44
🧠,1F9E0,255,180,180,80.16,27.32,10.99
🧡,1F9E1,255,152,0,72.08,30.58,77.09
🧢,1F9E2,34,151,244,60.86,1.87,-55.07
🧣,1F9E3,245,68,55,55.98,66.11,47.78
🧤,1F9E4,130,174,192,68.67,-10.31,-13.96
🧥,1F9E5,219,175,107,73.95,7.83,40.46
🧦,1F9E6,202,228,232,88.94,-8.04,-4.5
🧧,1F9E7,254,24,10,53.8,77.93,64.89
🧨,1F9E8,253,25,10,53.63,77.46,64.63
🧩,1F9E9,172,208,28,78.27,-33.05,74.23
🧪,1F9EA,2,196,170,71.1,-46.93,1.71
🧫,1F9EB,78,196,243,74.56,-18.73,-32.62
🧬,1F9EC,223,126,239,67.22,54.35,-41.58
🧭,1F9ED,254,253,251,99.24,0.13,0.71
🧮,1F9EE,138,83,71,41.36,21.25,16.89
🧯,1F9EF,221,56,39,49.87,62.35,48.45
🧰,1F9F0,197,39,39,43.46,60.27,40.53
🧱,1F9F1,226,85,50,54.88,53.26,48.15
🧲,1F9F2,244,67,54,55.71,66.03,47.65
🧳,1F9F3,6,170,244,66.0,-10.15,-46.78
🧴,1F9F4,80,233,217,84.45,-43.56,-4.03
🧵,1F9F5,11,151,235,60.0,-2.52,-51.19
🧶,1F9F6,235,67,125,55.32,67.51,6.28
🧷,1F9F7,129,174,192,68.67,-10.57,-14.13
🧸,1F9F8,167,95,62,47.97,25.76,31.31
🧹,1F9F9,254,225,130,90.15,-1.73,49.9
🧺,1F9FA,254,208,132,85.98,6.56,43.7
🧻,1F9FB,254,254,254,99.74,-0.07,-0.09
🧼,1F9FC,254,183,195,81.11,27.38,4.25
🧽,1F9FD,254,234,59,91.86,-10.96,80.66
🧾,1F9FE,254,254,255,99.71,-0.14,-0.22
🧿,1F9FF,24,85,238,42.6,39.98,-81.08
🩰,1FA70,228,174,135,75.17,14.99,27.54
🩱,1FA71,0,141,236,57.22,3.16,-56.11
🩲,1FA72,3,134,208,53.58,-3.07,-46.29
🩳,1FA73,42,183,246,70.07,-14.52,-41.61
🩴,1FA74,133,205,199,77.75,-23.65,-4.39
🩵,1FA75,100,208,255,79.21,-17.79,-32.04
🩶,1FA76,147,147,147,61.09,-0.0,0.0
🩷,1FA77,255,148,189,73.59,45.11,-3.69
🩸,1FA78,229,50,46,50.84,66.63,46.2
🩹,1FA79,224,225,224,89.28,-0.51,0.37
🩺,1FA7A,3,172,247,66.73,-10.18,-47.39
🩻,1FA7B,132,191,222,74.49,-11.29,-21.3
🩼,1FA7C,131,177,195,69.59,-10.72,-14.19
🪀,1FA80,220,14,42,46.57,71.04,43.33
🪁,1FA81,251,159,3,73.05,25.69,77.11
🪂,1FA82,39,153,187,58.82,-19.43,-26.11
🪃,1FA83,177,191,198,76.37,-3.43,-5.19
🪄,1FA84,253,221,56,88.39,-4.84,78.29
🪅,1FA85,220,210,196,84.66,0.84,8.17
🪆,1FA86,221,66,51,51.18,59.08,43.12
🪇,1FA87,129,159,62,61.46,-25.41,45.95
🪈,1FA88,248,190,66,80.34,9.0,67.3
🪉,1FA89,174,90,17,47.4,29.99,51.98
🪊,1FA8A,254,190,39,80.85,11.16,76.71
🪎,1FA8E,84,92,94,38.55,-2.84,-2.21
🪏,1FA8F,131,175,193,69.03,-10.42,-13.98
🪐,1FA90,238,216,164,86.96,-0.11,28.55
🪑,1FA91,188,122,63,56.97,20.14,42.13
🪒,1FA92,115,117,119,49.15,-0.55,-1.17
🪓,1FA93,255,205,129,85.31,8.34,44.26
🪔,1FA94,243,188,62,79.22,8.15,67.68
🪕,1FA95,251,243,221,96.0,-0.94,11.87
🪖,1FA96,81,107,63,42.29,-18.74,21.7
🪗,1FA97,235,76,32,55.15,59.35,56.94
